timestamp,year_of_study,decided_track,understand_roles,enough_exposure,sources_used,guidance_tailored,guidance_helpful,biggest_challenge,most_lacking,simulation_useful,recommendation_useful,response_date,sources_list
2026-04-03 11:45:44,Year 2,No,4,Not really,"Seniors;School platforms (Oasis, website)",3,4,Fear of making the wrong decision,Nothing is lacking,3,4,2026-04-03,"['Seniors', 'School platforms (Oasis, website)']"
2026-04-03 12:06:54,Year 2,No,2,Not really,Career talks;Friends / peers,2,3,Lack of real-world understanding,Hands-on exposure to tasks,5,3,2026-04-03,"['Career talks', 'Friends / peers']"
2026-04-03 12:07:27,Year 2,No,4,Somewhat,"Seniors;School platforms (Oasis, website)",2,2,Fear of making the wrong decision,Clear comparison between tracks,5,5,2026-04-03,"['Seniors', 'School platforms (Oasis, website)']"
2026-04-03 12:07:37,Year 2,No,2,Not really,"Career talks;School platforms (Oasis, website)",1,2,Lack of clear differences between tracks,Hands-on exposure to tasks,5,5,2026-04-03,"['Career talks', 'School platforms (Oasis, website)']"
2026-04-03 12:09:06,Year 2,No,3,Not really,"School platforms (Oasis, website);Friends / peers",1,2,Fear of making the wrong decision,Hands-on exposure to tasks,4,4,2026-04-03,"['School platforms (Oasis, website)', 'Friends / peers']"
2026-04-03 12:37:29,Year 2,No,2,Not really,"Career talks;School platforms (Oasis, website)",4,3,Not sure which fits me,Hands-on exposure to tasks,4,4,2026-04-03,"['Career talks', 'School platforms (Oasis, website)']"
2026-04-03 14:14:57,Year 2,No,2,Not at all,"Seniors;School platforms (Oasis, website)",2,1,Not sure which fits me,Understanding of career outcomes,4,5,2026-04-03,"['Seniors', 'School platforms (Oasis, website)']"
2026-04-03 17:23:29,Year 2,No,3,Not really,"Seniors;School platforms (Oasis, website)",4,2,Fear of making the wrong decision,Real-world examples of jobs,4,4,2026-04-03,"['Seniors', 'School platforms (Oasis, website)']"
2026-04-03 19:47:01,Year 2,No,4,Not really,"Seniors;School platforms (Oasis, website)",2,3,Fear of making the wrong decision,Hands-on exposure to tasks,5,4,2026-04-03,"['Seniors', 'School platforms (Oasis, website)']"
2026-04-03 21:22:44,Year 2,No,4,Somewhat,Seniors;Career talks,4,4,Not sure which fits me,Hands-on exposure to tasks,4,3,2026-04-03,"['Seniors', 'Career talks']"
2026-04-03 23:40:13,Year 2,No,3,Not really,"School platforms (Oasis, website);LinkedIn / job descriptions",2,3,Not sure which fits me,Clear comparison between tracks,4,5,2026-04-03,"['School platforms (Oasis, website)', 'LinkedIn / job descriptions']"
2026-04-04 18:43:59,Year 2,No,3,Not really,"School platforms (Oasis, website);Friends / peers",2,3,Not sure which fits me,Hands-on exposure to tasks,5,2,2026-04-04,"['School platforms (Oasis, website)', 'Friends / peers']"
2026-04-06 06:56:17,Year 2,No,2,Not really,LinkedIn / job descriptions;Friends / peers,2,2,Not sure which fits me,Hands-on exposure to tasks,4,4,2026-04-06,"['LinkedIn / job descriptions', 'Friends / peers']"
